T,X,Y
1,19.003576371237195,0
1,7.1143529162013595,-5
1,12.977570954974635,3
1,1.6669967782921304,-4
0,13.139656792621853,3
0,12.772952378509844,5
0,11.966326554567333,-2
1,7.856541200627934,6
1,8.757417485806847,4
0,15.963070822041942,5
0,7.515552812841454,-1
1,10.683052658007265,14
0,5.086713901429808,-3
1,14.757164479637929,2
0,4.319033396574221,0
1,5.970369308692295,4
0,9.683974683407675,-7
1,1.1108036257724265,4
1,10.526309928279677,5
0,5.961588246582298,1
1,11.647533679949841,7
0,17.625180594539685,4
0,17.373213786790135,2
1,9.508342192301562,-8
0,10.318969359258537,-3
0,9.252415687028853,2
0,5.873048028180114,5
0,18.95282508833952,6
1,16.33991191708064,1
1,6.542586983932621,3
1,-1.8683565800851696,5
1,9.23834059603322,11
0,4.947668499338045,1
1,10.377158293095093,3
1,11.307540325700163,1
1,7.326499038419104,6
0,11.93845281704171,4
0,11.36403672205567,1
1,16.809337434674156,-9
0,5.4730284569198195,-6
0,14.45330412224621,3
0,6.002870815566081,1
1,9.061774050672113,4
1,9.577515281733739,-2
0,2.0476147270632357,11
0,10.639795263024494,2
0,15.369170502866002,0
1,7.040020714560123,0
1,14.756691714227196,1
0,2.8807971835312642,0
0,8.532808764738533,-2
1,6.777110979371804,4
0,9.078253448114456,6
1,2.9378554364610707,5
0,8.241769332331307,2
1,13.762727798351463,6
1,9.584974275544031,5
0,12.606082934742005,10
1,24.806480255092836,-1
1,12.753911182228537,7
1,7.0694232930074214,-2
1,12.803417566329976,1
1,9.057860525990145,0
0,10.697347668352556,2
0,17.388446359145153,-9
1,-3.4123698023392777,-2
1,12.87281506407808,2
1,9.745719516585202,-2
0,8.326077569943921,4
1,10.478584714071426,7
0,9.204951607847143,4
1,12.605994714223781,7
1,8.158739943249172,0
0,15.755647560916357,-3
1,11.409350324369335,11
0,2.359249841020093,1
1,11.890135450262386,-1
1,-1.9913230863303806,-1
1,15.543218312453236,6
0,17.868036933310265,-7
0,7.920827020624139,0
1,16.038824330737548,-6
0,5.961559120362636,-4
0,5.735560398253832,6
1,14.195095852020156,1
0,16.601366569638277,-7
1,3.402629105267014,-1
1,11.718992658277013,7
0,10.257960418930665,0
0,12.257133915954618,4
0,7.584839078819579,2
1,15.00050199400231,-2
0,17.49665142204667,3
1,9.690051086753027,2
1,4.547264696621733,0
1,11.182051250856677,0
1,18.164986729264903,7
0,9.75424652679114,-3
0,14.476733790595897,0
1,5.327325745335715,1
0,12.292406222185738,-6
0,13.70589481381313,2
1,7.04829099427008,1
0,9.048139640740821,-6
0,3.1229031019335984,-2
0,8.59576702008442,10
0,7.576207410649772,-2
0,13.494435626392956,0
1,8.386141422219312,2
0,11.967565278576583,-2
0,17.58737039078135,6
0,6.16578695486563,4
0,17.482805383084706,6
0,10.784754272706959,-7
0,13.184222784518202,8
0,2.5623947388391244,0
1,19.22379413153613,4
0,5.8872096102041045,5
1,11.822507707379646,4
0,12.638033610960528,0
0,16.510923272405314,5
0,-0.9277112995845673,3
0,14.913840093562762,0
1,1.6021612533444678,8
1,10.032868373262584,4
0,10.323265013720743,3
0,-0.9621999011691749,-1
0,7.763484504718102,0
1,11.960660711426858,2
0,17.1223537306853,7
0,15.385185966537101,-4
0,11.942896972404428,0
0,8.599419034411245,-1
1,2.179923391083717,-7
1,14.133340512645113,-6
1,13.835713755775878,-4
0,15.428527863433192,-2
0,23.989168538009714,1
0,8.578553328798423,-7
1,14.924957495472015,6
1,1.6625619649899672,0
1,16.420168595546148,2
0,8.20801293758785,0
0,4.5080623549422745,3
1,12.157573615069595,6
1,15.098125770082497,10
1,9.41458680361566,3
0,7.831203888842908,0
1,4.105575884778185,0
0,19.32290337413387,5
0,24.719039952099756,5
0,8.827614821334208,3
1,4.084966350245112,2
1,15.818028753462126,7
0,10.007571727469427,7
0,11.243432008773466,1
0,16.626100616880457,-4
0,9.633934444493118,0
0,13.344681703021429,7
0,9.067971657504103,0
1,11.097553134302792,0
0,2.0993714551041815,-1
1,13.34588814860083,5
1,22.87163182599032,0
0,6.755075981723055,-3
0,10.102006060139722,-5
0,3.4043350499098537,4
0,11.593782033477536,5
0,24.844121363165243,3
1,8.150798125455275,4
0,10.918287172519294,-4
0,19.783993279317684,6
0,13.016677252773887,3
1,8.412402282324727,-7
1,13.571881095122748,0
0,11.935206177115507,2
1,12.389703710895695,-1
1,14.830118415222849,4
0,12.63956482482341,0
0,8.510802607598146,6
1,2.9549187817174625,7
1,15.408201946459393,3
0,18.496665343019785,0
0,13.462169676584619,-7
0,3.757849590452702,7
1,3.253296518274597,1
1,4.235073010260201,13
0,21.5385049598524,6
0,7.0335520426655815,11
1,7.175283559981796,7
1,11.086119579529397,0
0,8.42603982019973,6
0,14.62171707416337,0
1,1.6996649196282938,3
0,19.215884699348837,-6
0,6.719041687146982,-11
0,6.469133749950339,0
0,17.34663682032261,-7
0,10.919430649800837,2
0,18.908896656680902,-3
1,8.73592720781554,5
0,13.673623155529118,4
0,13.152831530838148,8
0,8.82688657281122,-3
0,8.179638794539745,6
0,5.4452546876699754,-2
1,8.094289579941503,2
1,-2.256185656042346,4
0,19.708938839533623,0
0,9.664191545344153,-2
0,14.579521382807059,0
1,15.245954672353523,-5
1,22.271962442697465,-3
1,0.18664904287027184,1
0,8.801745550173349,0
0,10.19541627130259,3
1,12.935144247323972,14
0,15.977167559068281,2
0,14.550613183239246,6
0,9.772429227164334,0
1,4.6438052791975135,5
1,9.165575435907929,6
0,6.324068389502903,-1
0,5.448724285833506,11
0,11.567018661477553,2
1,12.95981053402436,4
1,2.0568877929289666,-7
0,5.848021780245206,2
0,15.87350348951282,5
0,13.0415436847736,2
0,13.866390127417603,0
0,10.548398159124014,0
1,0.6492495649774632,-2
0,10.783940855123538,-2
1,10.629838626806627,3
1,1.9191445693939073,3
0,8.655277776797131,1
1,15.584688469009318,0
0,11.721925692262126,1
1,4.6698945595442405,-5
0,4.955651104261034,-5
1,17.760462815256265,1
1,7.0483950741439205,-5
1,9.483496528936628,-1
0,7.502553425832356,4
0,14.905997464430826,0
0,5.6522218405692755,0
1,22.732704717137928,0
1,16.56090375363491,-1
0,14.382220695401035,7
1,16.870908805043317,-4
0,14.784287864429803,0
1,8.70283553708592,0
1,17.183248429627277,2
1,7.7156304506157785,-2
1,11.359367662051914,1
1,11.625600606418685,-3
0,7.312005122140965,2
1,3.0300073242874133,4
0,13.002193813869079,6
1,12.61587300241038,-4
1,21.082672076912424,5
0,12.030730182285533,8
1,11.191789735259258,0
0,10.900583502620814,7
0,6.836746318284321,-2
0,15.022360361808376,0
1,10.885299248931354,0
0,7.252449961274627,-6
1,21.800862729854536,3
0,0.8744928444819209,1
0,18.17702878608278,-2
0,14.499965596798523,-4
0,10.93920487338274,0
0,16.72272296400221,1
0,10.818784993668247,-3
1,5.111741430336272,3
0,10.619121608980358,-2
1,7.7085801100906615,4
0,22.85507811144489,-2
1,11.57078749992209,0
1,3.7728801348760443,0
1,11.07246280719062,7
0,14.11702377770455,-7
0,15.771680571011451,5
1,10.554642961835203,4
1,2.68948627825049,-3
1,8.043138565893747,0
1,10.522891239844544,4
1,0.7352646379871679,11
0,12.343063690792977,-2
1,14.416578152466784,4
1,2.141423677656057,-2
0,11.139641236622257,3
0,12.659425212646306,2
0,20.730747868144164,3
0,13.909840835772513,3
1,12.101732864690103,0
1,12.868207761506502,-4
0,8.621828722379986,-3
1,9.577894802007203,10
1,16.13822118744948,12
0,17.676711662044703,0
1,13.640075878776365,-1
1,-2.2492898527172063,2
0,6.981452805397508,-3
1,10.75152410997347,-1
1,14.390251487822516,0
0,18.383488649161595,-2
1,10.471610605427477,9
1,9.37547430402019,5
0,13.32284507825969,1
0,15.684557425288745,-11
1,13.83830199723602,-1
1,6.758335062532119,0
1,6.6230065335116395,2
0,11.616831250344806,4
1,13.36241584362402,-1
0,6.682666074094393,0
0,10.192791696568422,2
1,7.5752690641441625,0
0,5.531967819925617,16
0,11.353377533771193,5
1,2.2524627548964595,-3
0,10.815428667591641,7
1,4.402912921809749,6
1,15.326642031844507,-7
1,10.032608166874548,-4
0,12.273692206120916,0
1,10.351549078630729,-1
0,10.58987232727203,4
1,6.929490800671142,2
