T,X,Y
1,17.355491712312176,27
1,12.719455557662918,11
1,21.628622925745326,25
1,13.488788258629725,6
0,22.151425492251263,25
0,24.900941204362887,27
0,16.601345671617917,18
1,24.528510318115558,23
1,22.654032679074984,22
0,24.193781794794468,30
0,17.050326978223524,14
1,32.530950445841356,34
0,15.94713636865098,11
1,20.78218063117453,26
0,19.920901610447213,14
1,22.364944766168637,19
0,11.978647730330282,11
1,22.14644315909382,14
1,23.92176345936667,25
0,20.092256029561177,16
1,25.860168783486134,28
0,23.629313002918714,31
0,21.222690790667787,28
1,9.646566197099698,10
0,15.723371840442844,16
0,21.736973699585917,21
0,24.578211602315072,20
0,25.88666768621973,35
1,19.406829399026737,27
1,21.858824067587033,19
1,23.543577919275393,12
1,29.427929950274795,29
0,20.91106650021455,16
1,21.14427335036738,22
1,19.327278584046617,21
1,24.386714535431132,23
0,23.63174861375558,25
0,20.767955761374136,22
1,8.003186449473446,16
0,12.294092676238131,8
0,22.556497952121394,27
0,20.932595854529858,17
1,22.624522347324774,22
1,15.123894111386356,15
0,30.045255550096748,22
0,21.013042734324422,21
0,18.542897887900693,24
1,17.167755719162724,15
1,19.44892400234287,25
0,18.05938829063934,11
0,16.591701150908797,15
1,22.5304156781374,20
0,25.916242168603944,25
1,23.25211888991248,17
0,21.486498572498782,20
1,24.96518484149239,30
1,23.12254828967971,23
0,29.873689940284372,32
1,16.73110261011231,32
1,25.51601600958876,29
1,15.222429053088955,13
1,19.81654715603615,23
1,18.718706489038404,19
0,21.155569513741938,22
0,9.62461007320835,17
1,15.937037545929691,3
1,20.0613655386657,24
1,15.698027944204743,16
0,23.031034723271006,21
1,25.207236617675562,26
0,23.635221135700867,23
1,25.009399612935905,28
1,18.55117341083061,17
0,15.525837282820845,21
1,29.928806417980798,32
0,20.23834037042228,12
1,16.542020769176197,19
1,16.06934666493614,5
1,24.039854599428363,30
0,11.68730435607181,19
0,18.652717544330415,16
1,11.156198202298809,18
0,14.749466964650708,11
0,25.67324125710772,21
1,19.084425587086844,24
0,11.628083989200066,18
1,16.23565219967538,10
